index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
108,-3.359536995,-1.088525319,1.594552028,-1.402605583,-0.287202569,2.069793448,-1.379849907,0.558184129,-0.141236707,-0.2809883
109,-1.242766759,-1.485496386,-2.011886981,-0.325598618,-0.227477992,0.799035633,-1.392264682,0.231911355,-0.111189448,0.569807589
110,-1.078968183,1.581011983,3.870815844,-1.248376059,0.38328609,0.158970449,0.28257741,0.278369089,0.319937872,0.383644209
111,2.137945434,-1.765720761,-0.088940062,0.937861806,-1.214853313,0.62502765,1.252899082,0.598559889,-0.010025651,0.114096966
112,-3.382327274,-0.016292394,2.972915554,-0.128960349,0.489322333,-0.202865493,0.268838084,-0.205631871,-0.997469921,-0.271760554
113,1.581639617,-2.040687458,0.641237104,-0.184681971,0.383500048,-0.198666886,0.414949333,0.028326183,0.08618973,0.004391808
114,0.104964846,-1.505985656,-0.995971248,1.631941247,-1.069675114,-0.041914987,1.187570989,0.455478182,0.16696599,-0.376951332
115,-0.203457671,1.095741312,-1.244086193,-0.120687432,0.526872163,1.453734932,-2.182674708,-0.208772839,-0.268563828,-0.515126074
116,-0.973218532,1.448165665,-0.540019762,-1.370059486,-0.323655062,0.961329395,-1.385363621,0.509176402,0.367828933,-0.375811073
117,1.97757475,0.61556901,1.011984026,0.514185984,1.283769545,0.017185139,-0.19258046,-0.342869717,-0.128694237,-0.115700943
118,-0.242538,-1.779104943,-0.773622486,0.262499316,0.488666576,-0.590410203,-0.114338021,0.330178032,0.135527769,-0.431539967
119,1.535098811,-1.640346138,0.060129898,0.25618486,-1.42609529,1.429085156,0.672430955,-0.154630242,0.045767647,0.052103506
120,-0.64915335,-1.584023739,-1.196792789,-0.541247513,-0.123712722,0.75181852,-1.095093877,-0.03547202,0.064567496,-0.431154872
121,-0.55616187,0.37111302,-0.937781765,-1.172108795,-0.713101273,-2.533172917,0.72085232,0.275039832,-0.366123583,0.092979602
122,-0.453757803,0.551694289,-1.876504109,-2.618573495,-1.698583625,-0.341011969,-1.115937701,0.347568671,-0.601058707,-0.317658205
123,-2.216142498,1.145419703,-0.627241674,-0.261520623,-1.585830296,1.838502352,-0.313353285,-0.240627533,1.415377568,0.621274373
124,-0.639172014,-1.758475922,-0.765468956,0.56602772,0.665373918,-0.979735408,0.115925653,0.213795147,0.156209544,0.02912837
125,-0.401634642,-1.764058044,-0.68322267,0.125432428,0.452720693,-0.452124737,-0.21634131,0.114789381,0.151940729,-0.451786604
126,2.130849635,-2.103874931,0.035570337,0.032098655,0.34951361,-0.309695351,0.399563475,0.876774351,-0.088629559,0.093160431
127,-0.466242749,-1.750331106,-0.32368009,0.434269387,0.489143122,-0.75233362,0.235260342,-0.112370345,0.269943048,-0.481666278
128,-1.418346626,0.702613465,-2.126031127,-2.466345127,-1.578797213,-0.453529525,-1.209028204,0.002161661,-0.58800395,0.61098609
129,-0.296263185,0.891082666,-0.264484865,1.393614748,1.321302434,-0.760553233,-0.539122529,-0.293373627,-0.030756387,-0.094213203
130,1.62620475,0.183445023,0.429374294,-1.697569779,-0.462400332,-0.974436958,0.286193108,-0.064725946,-0.466432047,0.020499495
131,0.47773872,1.278602739,-1.025037734,0.075915908,0.267615213,-1.171056535,-0.153511493,0.796314162,0.332032928,-0.34684199
132,0.888988421,1.639280669,1.898886632,-0.085757553,-0.895975834,0.575732347,1.607627298,-0.453074945,0.538053788,-0.037667557
133,1.139075801,-1.98969418,0.502792742,-0.12155601,0.525230283,-0.341420217,0.329467836,-0.075701735,0.084784747,0.473487734
134,-1.377908967,-0.443705234,-2.981502454,-2.008505561,3.60800286,2.653019728,4.062931798,0.048927008,-0.067263942,-0.193376633
